pos,row,outcome
WR,Jake Bobo SEA,tier3_single
WR,Tank Dell HOU,tier3_single
WR,Tyler Scott LAR,tier3_single
WR,Colton Dowell SF,unresolved
WR,Jalen Brooks ARI,tier3_single
WR,Jared Wayne HOU,tier3_single
WR,Elijah Cooks NO,unresolved
WR,Shedrick Jackson LV,unresolved
WR,Jason Brownlee KC,unresolved
WR,Dylan Drummond ATL,tier3_single
WR,Dominic Lovett DET,tier3_single
WR,Isaiah Neyor GB,unresolved
WR,Malachi Corley CLE,tier3_single
WR,Ja'Lynn Polk NO,unresolved
WR,Brenden Rice LV,unresolved
WR,Bub Means NO,unresolved
WR,Tahj Washington MIA,tier3_single
WR,Ryan Flournoy DAL,tier3_single
WR,Jalen Coker CAR,tier3_single
WR,Tejhaun Palmer ARI,tier3_single
WR,Kameron Johnson TB,unresolved
WR,Xavier Restrepo TEN,tier3_single
WR,Jalen Royals KC,unresolved
WR,Ricky White III SEA,tier3_single
WR,Nick Nash WAS,tier3_single
WR,Jimmy Horn Jr. CAR,tier3_single
WR,Efton Chism III NE,unresolved
WR,LaJohntay Wester BAL,tier3_single
WR,Jordan Watkins SF,unresolved
WR,Junior Bergen SF,unresolved
WR,Gage Larvadain CLE,tier3_single
TE,Brock Bowers LV,unresolved
TE,George Kittle SF,unresolved
TE,Trey McBride ARI,tier3_single
TE,Travis Kelce KC,unresolved
TE,Mark Andrews BAL,tier3_single
TE,Sam LaPorta DET,tier3_single
TE,T.J. Hockenson MIN,tier3_single
TE,Tyler Warren IND,tier3_single
TE,Dallas Goedert PHI,tier3_single
TE,Tucker Kraft GB,unresolved
TE,Kyle Pitts Sr. ATL,tier3_single
TE,Evan Engram DEN,tier3_single
TE,Hunter Henry NE,unresolved
TE,Jake Ferguson DAL,tier3_single
TE,Dalton Kincaid BUF,tier3_single
TE,Cade Otton TB,unresolved
TE,Brenton Strange JAC,tier3_single
TE,Dalton Schultz HOU,tier3_single
TE,Mike Gesicki CIN,tier3_single
TE,Chig Okonkwo WAS,unresolved
TE,Theo Johnson NYG,tier3_single
TE,Colston Loveland CHI,tier3_single
TE,Pat Freiermuth PIT,tier3_single
TE,Mason Taylor NYJ,tier3_single
TE,Juwan Johnson NO,unresolved
TE,Ja'Tavion Sanders CAR,tier3_single
TE,Robbie Ouzts SEA,unresolved
TE,Tyler Higbee LAR,tier3_single
TE,Tyler Conklin DET,unresolved
TE,Noah Gray KC,unresolved
TE,AJ Barner SEA,tier3_single
TE,Julian Hill NE,unresolved
TE,Elijah Arroyo SEA,tier3_single
TE,Cole Kmet CHI,tier3_single
TE,Harold Fannin Jr. CLE,tier3_single
TE,Noah Fant NO,unresolved
TE,Austin Hooper ATL,unresolved
TE,Tanner Conner NYG,tier3_single
TE,Payne Durham TB,unresolved
TE,Michael Mayer LV,unresolved
TE,Charlie Kolar LAC,unresolved
TE,Dawson Knox BUF,tier3_single
TE,Gunnar Helm TEN,tier3_single
TE,Tommy Tremble CAR,tier3_single
TE,Josh Oliver MIN,tier3_single
TE,Luke Musgrave GB,unresolved
TE,Adam Trautman DEN,tier3_single
TE,Cade Stover HOU,tier3_single
TE,Grant Calcaterra PHI,tier3_single
TE,Jeremy Ruckert NYJ,tier3_single
TE,Johnny Mundt PHI,unresolved
TE,Drew Ogletree IND,unresolved
TE,Luke Schoonmaker DAL,tier3_single
TE,Brock Wright DET,tier3_single
TE,Terrance Ferguson LAR,tier3_single
TE,Daniel Bellinger TEN,unresolved
TE,Blake Whiteheart CLE,tier3_single
TE,Elijah Higgins ARI,tier3_single
TE,Ben Sinnott WAS,tier3_single
TE,Eric Saubert SEA,tier3_single
TE,Connor Heyward LV,unresolved
TE,Colby Parkinson LAR,tier3_single
TE,Darnell Washington PIT,tier3_single
TE,Moliki Matavao NO,unresolved
TE,Drew Sample CIN,tier3_single
TE,Charlie Woerner ATL,tier3_single
TE,Lucas Krull DEN,tier3_single
TE,Hunter Long JAC,tier3_single
TE,Jackson Hawes BUF,tier3_single
TE,John Bates WAS,tier3_single
TE,Tip Reiman ARI,tier3_single
TE,Brevyn Spann-Ford DAL,tier3_single
TE,Chris Manhertz NYG,tier3_single
TE,Mitchell Evans CAR,tier3_single
TE,Stone Smartt PHI,unresolved
TE,Luke Farrell SF,unresolved
TE,Mo Alie-Cox IND,tier3_single
TE,Teagan Quitoriano ARI,unresolved
TE,Durham Smythe BAL,unresolved
TE,Kylen Granson TEN,unresolved
TE,Ian Thomas LV,unresolved
TE,Feleipe Franks CAR,unresolved
TE,Jack Westover NE,unresolved
TE,Tanner Hudson CIN,tier3_single
TE,Davis Allen LAR,tier3_single
TE,Ko Kieft TB,unresolved
TE,Brady Russell SEA,unresolved
